Han Character	Mandarin Trans.
有蜀日起五更早, 依爸就搦我問, 	某天一早, 老爹便來問我, 
講, 昨暝晡幾點去睏? 有無十二點半? 	說, 昨晚幾點睡呢? 有沒有到半夜十二點半? 
無{啊,吓}! 十一點上我就睶啦! 	沒有呀! 十一點多我就睡著了! 
佪傒勢我十二點半爬起, 看見汝房裡電光本來故光𡅏, 等我行兩步就做蜀下暗去? 	那為什麽我十二點半起夜, 看見你房裏的燈本來亮著, 等我走幾步就突然滅了呢? 
我正好爬起拍風蚊{啊,吓}! 	我剛好醒來打蚊子啊! 
伓通講拍風蚊, 我蜀行轉房裡, 就聽見汝開燈了! 囝, 講囇昨暝晡做世乇會這滿遲? 今旦早起頭爬起做都儥使{嗎,儥}? 	別說打蚊子啦! 我剛回到房裏, 就聽見你開燈了! 兒子, 說一下昨晚做什麽為什麽這麽遲? 今天早上早起做都不行嗎? 
就做作業{啊,吓}! 今旦早起頭上堂就卜繳囉, 爬起再做{將,蔣}赴? 乞汝看看, 會仈做嗎? 	就做作業呀! 今天早上上課就要交了, 起床再做完怎麽來得及呢! 給妳看看, 會做嗎? 
	拿出專業課作業.
㑚這幾題也做許滿遲, 汝做野慢{啊,吓}. 依弟{啊,吓}, 作業蜀佈置儂家就着做, 伓通拖遘尾斗去. 儂家寬板做好偌快活. 	才這幾題也做那麽遲, 你太慢了! 依弟啊, 作業一布置我們就要完成, 別拖到最後才去做! 我們從容完成多舒服. 
	
故有蜀回, 暝晡做野遲乞嬷嬷搦着, 我講, 	又有一次, 晚上熬夜被奶奶逮住, 我解釋說, 
伓啻作業啊, 故有哩! 這下昨暝晡伓做, 之前研究就做空囉! 	不止作業啊, 還有呢! 這個重要的事情, 昨晚不做, 之前的研究就白做了! 
	拿出某比賽論文. 熬夜才拿了個H獎, 我太菜了!
嚽寫世乇哦, 英語{呀,也}? 算學{呀,也}? 幾何{呀,也}嬷嬷儥仈看, 㑚仈告汝食喚汝睏. 依命啊, 以後暝晡㑚有做遘十二點就着去睏, 伓通恰遲, 㑚對身體儥好, 會{嗎,儥}? 	這寫什麽呀, 英語? 算術? 幾何? 奶奶看不懂, 只懂得喊你吃飯、提醒你睡覺. 命啊, 以後晚上忙到十二點就要去睡覺了, 不要太晚, 不然對身體不好, 可以嗎? 
好, 好, 會使! 今晡就早仂睏. 	好的, 好的, 可以! 今晚就早點睡. 
	
嗐! 敆厝讀書儥比敆學校閑偌. 長輩希望我早早睏, 但是事故是許滿価啊! 	唉! 居家學習並不比在校空閑多少. 長輩們希望我早睡, 但是事情還是那麽多啊! 
