Mindong	Mandarin Trans.	Source	Note
筅堂		林聪生策展. 筅堂洗厝好过年[A]. 见: 林聪生策展. 福州传统春节年俗文化展[Z]. 福州: 福建省图书馆, 2020.	民俗, 农历十二月, 家家户户打扫卫生迎新年叫筅堂
年暝兜	年前	林聪生策展. 筅堂洗厝好过年[A]. 见: 林聪生策展. 福州传统春节年俗文化展[Z]. 福州: 福建省图书馆, 2020.	
澈洁	清洁干净	林聪生策展. 筅堂洗厝好过年[A]. 见: 林聪生策展. 福州传统春节年俗文化展[Z]. 福州: 福建省图书馆, 2020.	
位处	位置	林聪生策展. 筅堂洗厝好过年[A]. 见: 林聪生策展. 福州传统春节年俗文化展[Z]. 福州: 福建省图书馆, 2020.	
塕尘	灰尘	林聪生策展. 筅堂洗厝好过年[A]. 见: 林聪生策展. 福州传统春节年俗文化展[Z]. 福州: 福建省图书馆, 2020.	
无块死乇	不用的杂物	林聪生策展. 筅堂洗厝好过年[A]. 见: 林聪生策展. 福州传统春节年俗文化展[Z]. 福州: 福建省图书馆, 2020.	
粪倒	垃圾	林聪生策展. 筅堂洗厝好过年[A]. 见: 林聪生策展. 福州传统春节年俗文化展[Z]. 福州: 福建省图书馆, 2020.	
壁枋	木头房子里面的墙壁	林聪生策展. 筅堂洗厝好过年[A]. 见: 林聪生策展. 福州传统春节年俗文化展[Z]. 福州: 福建省图书馆, 2020.	
坎门<typofix=槛门>	窗户	林聪生策展. 筅堂洗厝好过年[A]. 见: 林聪生策展. 福州传统春节年俗文化展[Z]. 福州: 福建省图书馆, 2020.	
澈澈洁	干干净净	林聪生策展. 筅堂洗厝好过年[A]. 见: 林聪生策展. 福州传统春节年俗文化展[Z]. 福州: 福建省图书馆, 2020.	
暝晦	倒霉	林聪生策展. 筅堂洗厝好过年[A]. 见: 林聪生策展. 福州传统春节年俗文化展[Z]. 福州: 福建省图书馆, 2020.	
倩	雇人代替自己做	林聪生策展. 筅堂洗厝好过年[A]. 见: 林聪生策展. 福州传统春节年俗文化展[Z]. 福州: 福建省图书馆, 2020.	
灶前帐	厨房用具统称	林聪生策展. 筅堂洗厝好过年[A]. 见: 林聪生策展. 福州传统春节年俗文化展[Z]. 福州: 福建省图书馆, 2020.	
睏	睡	林聪生策展. 筅堂洗厝好过年[A]. 见: 林聪生策展. 福州传统春节年俗文化展[Z]. 福州: 福建省图书馆, 2020.	
暝晦	倒霉	林聪生策展. 筅堂洗厝好过年[A]. 见: 林聪生策展. 福州传统春节年俗文化展[Z]. 福州: 福建省图书馆, 2020.	
行裏	走入	林聪生策展. 筅堂洗厝好过年[A]. 见: 林聪生策展. 福州传统春节年俗文化展[Z]. 福州: 福建省图书馆, 2020.	
稠稠	常常	林聪生策展. 筅堂洗厝好过年[A]. 见: 林聪生策展. 福州传统春节年俗文化展[Z]. 福州: 福建省图书馆, 2020.	
逿雨	下雨	林聪生策展. 筅堂洗厝好过年[A]. 见: 林聪生策展. 福州传统春节年俗文化展[Z]. 福州: 福建省图书馆, 2020.	
旧底	过去	林聪生策展. 筅堂洗厝好过年[A]. 见: 林聪生策展. 福州传统春节年俗文化展[Z]. 福州: 福建省图书馆, 2020.	
乍	刚才	林聪生策展. 筅堂洗厝好过年[A]. 见: 林聪生策展. 福州传统春节年俗文化展[Z]. 福州: 福建省图书馆, 2020.	
缚	绑	林聪生策展. 筅堂洗厝好过年[A]. 见: 林聪生策展. 福州传统春节年俗文化展[Z]. 福州: 福建省图书馆, 2020.	
对手	帮忙	林聪生策展. 筅堂洗厝好过年[A]. 见: 林聪生策展. 福州传统春节年俗文化展[Z]. 福州: 福建省图书馆, 2020.	
